3,"1973","Proceedings of the 1st Annual Symposium on Computer Architecture","ISCA",1
4,"1975","Proceedings of the 2nd Annual Symposium on Computer Architecture","ISCA",1
5,"1976","Proceedings of the 3rd Annual Symposium on Computer Architecture","ISCA",1
6,"1977","Proceedings of the 4th Annual Symposium on Computer Architecture","ISCA",1
7,"1978","Proceedings of the 5th Annual Symposium on Computer Architecture","ISCA",1
8,"1979","Proceedings of the 6th Annual Symposium on Computer Architecture","ISCA",1
9,"1980","Proceedings of the 7th Annual Symposium on Computer Architecture","ISCA",1
10,"1981","Proceedings of the 8th Annual Symposium on Computer Architecture","ISCA",2
11,"1982","Proceedings of the 9th Annual Symposium on Computer Architecture","ISCA",2
12,"1983","Proceedings of the 10th Annual International Symposium on Computer Architecture","ISCA",1
13,"1984","Proceedings of the 11th Annual International Symposium on Computer Architecture","ISCA",1
14,"1985","Proceedings of the 12th Annual International Symposium on Computer Architecture","ISCA",2
15,"1986","Proceedings of the 13th Annual International Symposium on Computer Architecture","ISCA",2
16,"1987","Proceedings of the 14th Annual International Symposium on Computer Architecture","ISCA",1
17,"1988","Proceedings of the 15th Annual International Symposium on Computer Architecture","ISCA",2
18,"1989","Proceedings of the 16th Annual International Symposium on Computer Architecture","ISCA",1
19,"1990","Proceedings of the 17th Annual International Symposium on Computer Architecture","ISCA",1
20,"1991","Proceedings of the 18th Annual International Symposium on Computer Architecture","ISCA",1
21,"1992","Proceedings of the 19th Annual International Symposium on Computer Architecture","ISCA",1
22,"1993","Proceedings of the 20th Annual International Symposium on Computer Architecture","ISCA",1
23,"1994","Proceedings of the 21st Annual International Symposium on Computer Architecture","ISCA",2
24,"1995","Proceedings of the 22nd Annual International Symposium on Computer Architecture","ISCA",1
25,"1996","Proceedings of the 23rd Annual International Symposium on Computer Architecture","ISCA",1
26,"1997","Proceedings of the 24th Annual International Symposium on Computer Architecture","ISCA",1
27,"1998","Proceedings of the 25th Annual International Symposium on Computer Architecture","ISCA",3
28,"1999","Proceedings of the 26th Annual International Symposium on Computer Architecture","ISCA",3
29,"2000","Proceedings of the 27th Annual International Symposium on Computer Architecture","ISCA",1
30,"2001","Proceedings of the 28th Annual International Symposium on Computer Architecture","ISCA",1
31,"2002","Proceedings of the 29th Annual International Symposium on Computer Architecture","ISCA",3
32,"2003","Proceedings of the 30th Annual International Symposium on Computer Architecture","ISCA",1
33,"2004","Proceedings of the 31st Annual International Symposium on Computer Architecture","ISCA",3
34,"2005","Proceedings of the 32nd Annual International Symposium on Computer Architecture","ISCA",3
35,"2006","Proceedings of the 33rd Annual International Symposium on Computer Architecture","ISCA",3
36,"2007","Proceedings of the 34th Annual International Symposium on Computer Architecture","ISCA",1
37,"2008","Proceedings of the 35th Annual International Symposium on Computer Architecture","ISCA",3
38,"2009","Proceedings of the 36th Annual International Symposium on Computer Architecture","ISCA",1
39,"2010","Proceedings of the 37th Annual International Symposium on Computer Architecture","ISCA",1
40,"2011","Proceedings of the 38th Annual International Symposium on Computer Architecture","ISCA",1
41,"2012","Proceedings of the 39th Annual International Symposium on Computer Architecture","ISCA",3
42,"2013","Proceedings of the 40th Annual International Symposium on Computer Architecture","ISCA",1
43,"2014","Proceedings of the 41st Annual International Symposium on Computer Architecuture","ISCA",4
44,"2015","Proceedings of the 42nd Annual International Symposium on Computer Architecture","ISCA",1
45,"2016","Proceedings of the 43rd Annual International Symposium on Computer Architecture","ISCA",4
46,"2017","Proceedings of the 44th Annual International Symposium on Computer Architecture","ISCA",1
