1,"Complexity-Effective Superscalar Processors",26,"206-218"
2,"Computer Modules: An Architecture for Large Digital Modules",3,"231-237"
3,"Banyan Networks for Partitioning Multiprocessor Systems",3,"21-28"
4,"DAP--A Distributed Array Processor",3,"61-65"
5,"HMO, A Hardware Microcode Optimizer",4,"45-51"
6,"A Virtual Memory for Microprocessors",4,"80-84"
7,"A Distributed Function Computer for Real-Time Control",4,"176-182"
8,"A Loop Network for Simultaneous Transmission of Variable-length Messages",4,"7-12"
9,"A Preliminary Architecture for a Basic Data-flow Processor",4,"126-132"
10,"A Hierarchical, Restructurable Multi-microprocessor Architecture",5,"40-45"
11,"Design and Simulation of the Distributed Loop Computer Network (DLCN)",5,"124-129"
12,"A Multimicroprocessor Approach to Numerical Analysis: An Application to Gaming Problems",5,"46-51"
13,"High-speed Buffering for Variable Length Operands",6,"205-210"
14,"A Modular Memory Scheme for Array Processing",6,"90-94"
15,"A Large Scale, Homogeneous, Fully Distributed Parallel Machine, I",6,"105-117"
16,"The Architecture of an ALGOL 60 Computer Implemented with Distributed Processors",6,"95-104"
17,"Address Size Independence in a 16-bit Minicomputer",7,"152-158"
18,"Structure of an Efficient Duplex Memory for Processing Fault-tolerant Programs",7,"131-138"
19,"DIRECT - a Multiprocessor Organization for Supporting Relational Data Base Management Systems",7,"182-189"
20,"Interconnection Unit for Poly-Processor System: Analysis and Design",7,"216-222"
21,"The Architecture and System Method of DDM1: A Recursively Structured Data Driven Machine",7,"210-215"
22,"The Architecture of the SPERRY UNIVAC 1100 Series Systems",8,"137-146"
23,"A Bit-slice Cache Controller",8,"75-82"
24,"A Concurrent Computer Architecture and a Ring Based Implementation",8,"1-11"
25,"Processor-memory Interconnections for Multiprocessors",8,"168-177"
26,"An Expandable Multiprocessor Architecture for Video Graphics (Preliminary Report)",8,"58-67"
27,"A Processor for a High-performance Personal Computer",9,"146-160"
28,"Security and Protection of Data in the IBM System/38",9,"245-252"
29,"Distributed Fault-tolerance for Large Multiprocessor Systems",9,"23-30"
30,"Fault Tolerance of a Class of Connecting Networks",9,"61-71"
31,"The Cytocomputer: A Practical Pipelined Image Processor",9,"271-277"
32,"Lockup-free Instruction Fetch/Prefetch Cache Organization",10,"81-87"
33,"MP/C: A Multiprocessor/Computer Architecture",10,"3-19"
34,"Dynamic Rerouting Tag Schemes for the Augmented Data Manipulator Network",10,"505-516"
35,"A Reconfigurable and Fault-tolerant VLSI Multiprocessor Array",10,"425-442"
36,"Decoupled Access/Execute Computer Architectures",11,"112-119"
37,"A Dual Processor VAX 11/780",11,"291-298"
38,"The Gamma Network: A Multiprocessor Interconnection Network with Redundant Paths",11,"73-80"
39,"A Data Flow Architecture with a Paged Memory System",11,"120-127"
40,"Using Cache Memory to Reduce Processor-memory Traffic",12,"124-131"
41,"A Pyramidal Approach to Parallel Processing",12,"372-378"
42,"Switching Strategies in a Class of Packet Switching Networks",12,"284-300"
43,"Synchronizing Large VLSI Processor Arrays",12,"54-58"
44,"Instruction Issue Logic for Pipelined Supercomputers",13,"110-118"
46,"A Low-overhead Coherence Solution for Multiprocessors with Private Cache Memories",13,"348-354"
47,"A Multiprocessor Network Suitable for Single-chip VLSI Implementation",13,"328-339"
48,"A Generalized Object Display Processor Architecture",13,"38-47"
49,"Implementation of Precise Interrupts in Pipelined Processors",14,"36-44"
50,"Implementing a Cache Consistency Protocol",14,"276-283"
51,"A Fault-tolerant Scheme for Multistage Interconnection Networks",14,"368-375"
52,"The GF11 Supercomputer",14,"108-115"
53,"Array Processor with Multiple Broadcasting",14,"2-10"
54,"Reducing the Cost of Branches",15,"396-403"
55,"Software-controlled Caches in the VMP Multiprocessor",15,"366-374"
56,"Software Implementation of a Recursive Fault Tolerance Algorithm on a Network of Computers",15,"65-72"
57,"The Extra Stage Gamma Network",15,"175-182"
58,"Parallel Algorithms and Architectures for Rule-based Systems",15,"28-37"
59,"Instruction Issue Logic for High-performance, Interruptable Pipelined Processors",16,"27-34"
60,"Cache Design of a Sub-micron CMOS System/370",16,"208-213"
