1,2,"Hspice","Circuit Simulation",
2,2,"SimpleScalar","Architectural Simulation",
3,2,"Analytical Model","Analytical Model","Mainly circuit models"
4,9,"Simulation","Other","Solution could not be found analytically"
5,11,"Analytical Model","Analytical Model","Assumes ideal parallelism. Requires less floating point bits"
7,22,"GPSS","Architectural Simulation","Discrete event simulation via a General Purpose Simulation System"
8,23,"Analytical Model","Analytical Model","Estimation based on measured numbers"
9,31,"Queuing Theory","Analytical Model",
10,36,"Analytical Model","Analytical Model","Based on assembly instruction counts"
11,40,"Analytical Model","Analytical Model","Contention and communication overhead, area"
13,43,"Circuit Simulation","Circuit Simulation",
14,44,"SIMULA 67","Architectural Simulation","Discrete event simulation"
15,45,"Analytical Model","Analytical Model","Probabilistic"
16,57,"RSIM","Architectural Simulation","Rice Simulator for ILP Multiprocessors

CRPC Line"
17,59,"Network Simulator","Architectural Simulation","Latency and throughput"
18,59,"Analytical Model","Analytical Model","Price estimates based on network components"
20,61,"In-House Simulator","Architectural Simulation",
21,62,"In-House Simulator","Architectural Simulation",
23,64,"Neural Network Simulator","Architectural Simulation",
24,64,"Catapult HLS","Prototyping","For a processing element implemented in SystemC"
25,64,"Synopsys Design Compiler","Prototyping","To generate area estimates"
26,64,"TimeLoop","Analytical Model","For energy estimates"
27,66,"Hardware Prototype","Prototyping",
28,69,"Analytical Model","Analytical Model","Processing time. Complexity as a function of the number of pixels."
29,71,"Hardware Prototype","Prototyping","The cache design has been designed, prototyped, and verified."
30,75,"Analytical Model","Analytical Model","Estimates based on CRAY-1 numbers"
31,77,"Hardware Prototype","Prototyping",
32,80,"PMEP","Emulation","Persistent Memory Emulation Platform"
33,81,"In-House Simulator","Architectural Simulation",
34,82,"In-House Simulator","Architectural Simulation",
35,83,"In-House Simulator","Architectural Simulation",
36,83,"Micron System Power Calculator","Analytical Model","Power and energy"
37,83,"Analytical Model","Analytical Model","Memory lifetime"
39,84,"In-House Simulator","Architectural Simulation",
40,86,"Analytical Model","Analytical Model",
41,86,"Network Simulator","Architectural Simulation",
42,88,"In-House Simulator","Architectural Simulation",
43,89,"Analytical Model","Analytical Model",
44,92,"CRAY-1S","Architectural Simulation",
45,94,"In-House Simulator","Architectural Simulation",
46,98,"Analytical Model","Analytical Model",
47,98,"In-House Simulator","Architectural Simulation",
48,98,"ATUM","Trace Generation","Four VAX8200 traces"
49,99,"Monte Carlo Simulation","Other",
50,99,"Hardware Prototype","Prototyping","Two networked procesors, one with faults injected into"
51,101,"In-House Simulator","Architectural Simulation",
52,102,"CRAY-1S","Architectural Simulation",
53,103,"In-House Simulator","Architectural Simulation",
54,105,"In-House Simulator","Architectural Simulation",
55,105,"Analytical Model","Analytical Model",
56,106,"GPGPU-Sim","Architectural Simulation",
